Long,Lat,Noise
0.411236254055813,0.302467827735075,56.7
0.415964552640337,0.522920374328346,75.9
0.429081343728725,0.91532164966267,51.9
0.0512459495909881,0.0489607193644456,62.8
0.0529853665563647,0.0936567813259213,62.1
0.0539969714391537,0.1362430190534,70.1
0.049821810037386,0.00475464656424951,59.4
0,0.00645087518042083,61.5
0.00123242845984506,0.0502418926136038,67.1
0.532799417577817,0.254527229797309,51.7
0.579991831252846,0.298065224028976,67
0.536385859872778,0.299680193270839,65.6
0.484028676011707,0.299630318505181,50.7
0.410780805428123,0.302693602284115,56.7
0.588422806417522,0.342115346951985,63.9
0.539615620335269,0.343471210703849,58.4
0.487796478295256,0.34340746832048,62.4
0.588895938183207,0.386126786520232,61.3
0.540089830341088,0.387482893563657,56.6
0.490176801189351,0.387370492872257,55.8
0.991101068622233,0.419489598678393,54.8
0.942479986785096,0.420301219255586,58.8
0.891853378320395,0.421677519496764,60.6
0.840688512386613,0.422669175813513,53.8
0.414654275243652,0.476843632877957,66.8
0.791369162246253,0.424383408003571,59.2
0.742862805158127,0.425533447112763,62.5
0.692035428382658,0.426359665182175,47.7
0.64187763872314,0.428108931354111,49.1
0.590167830231539,0.429391321060897,49.8
0.540837050745875,0.430548415624638,64.8
0.489523603323236,0.43109411854867,54.7
0.995012061194022,0.463310540970867,57.5
0.943153671213545,0.464598283091627,63.3
0.892528356636983,0.466013509979299,53.5
0.413694425886747,0.432911749643271,66.3
0.842998965320783,0.467213667145536,57.1
0.793617939845416,0.468635949487757,61
0.741889154327643,0.469967970668813,63
0.693246292040053,0.470948678866226,56.6
0.64228995774593,0.472482632025167,56
0.594269886952996,0.473455798184909,52
0.544379500843843,0.47483891058925,64.5
0.491564711874832,0.474721400775436,64.8
0.993309951336882,0.506301372529314,52.4
0.944774913061503,0.507641422330987,52.9
0.41071869879707,0.386898263993304,68.1
0.894951377839931,0.508899969466964,63.7
0.843302813387272,0.510090394971664,69.2
0.794768206407939,0.511433850855004,61.6
0.744676836339976,0.512702372944078,67.2
0.694317200129574,0.513978923653941,58.8
0.644226045709634,0.515249878658442,56.1
0.593639332129448,0.515948368669382,58.5
0.544043952517758,0.517795194748766,58.3
0.493956895410277,0.517497649195568,65.6
0.997168972734763,0.549888998234906,49.7
0.41210790337071,0.346126251278759,67.1
0.948635228347542,0.551229048036752,49.7
0.898544720871672,0.552494164044158,51.8
0.846897234659128,0.553684589549031,57.4
0.798632187710392,0.555020989977648,60.5
0.748542111530568,0.556289512066722,67.4
0.698452035350762,0.557559007321863,66.6
0.648093908676523,0.558836774489527,53.5
0.596447069408049,0.560032795699589,70.5
0.548182669403382,0.561374791833742,63.9
0.496101946309687,0.561317375030241,64.8
0.361116634096625,0.303205974267016,53.7
1,0.59301801938787,47
0.951735815643375,0.594351013734993,61.8
0.901378120265182,0.595622941905734,53.5
0.84973214358882,0.596813124118874,57.8
0.801468174880199,0.598149524547492,68
0.751379392588533,0.599417803345006,64.5
0.701290610296848,0.600687298600319,64
0.651201828005182,0.601958010313088,68
0.599556498272889,0.603154031523322,63.7
0.551025126013923,0.604502839820465,66.9
0.360531365358226,0.346509435454173,66.3
0.498945481160344,0.604445179725578,65.8
0.949999202102319,0.638554653619761,74.6
0.900179548545184,0.639812957464178,62.8
0.848266599614522,0.64100995184048,56.1
0.799735658651602,0.64235316443226,74.2
0.749916436390533,0.643614631066612,62.7
0.699828947987005,0.644884126321926,62.1
0.649741675231501,0.646154838034867,66.5
0.598097639387347,0.647350859244929,65.5
0.549567345368516,0.648699424250684,68.6
0.36236653004646,0.390679987689544,60.4
0.497489210051099,0.648642007447184,66.5
0.952165386508114,0.682316232776601,60.3
0.901810494554241,0.683587917655609,48.9
0.701464853900633,0.688658843221797,72.6
0.651647141175706,0.689922499480015,62.2
0.600004399219711,0.69111852069025,64.3
0.551475399089018,0.692467085695832,64.1
0.49939855765976,0.692409425600945,62
0.70412832265086,0.731814869735676,50.1
0.654311903814091,0.733078525993895,62.7
0.362911903900344,0.435785995895618,60.7
0.602401973955754,0.734281116075732,70.9
0.553874267713219,0.735629681081314,52.8
0.501798720172119,0.735571777694867,53.7
0.703619393313101,0.776000992629506,66.7
0.653267520431571,0.777278029922489,70
0.601895848042334,0.778467238969561,60.3
0.553100953897477,0.779822372846746,58.8
0.501295182034977,0.779757657297136,60.7
0.705066175909269,0.820319952704221,58.4
0.655252129200774,0.82158336567088,60.2
0.418562248743098,0.566226755014052,62.8
0.365144507897674,0.477112956612612,62.4
0.603345218414799,0.822785955752717,70.5
0.555088150442977,0.824127465303577,68.6
0.502667997358742,0.826286191137165,63.1
0.656824203299164,0.86478732061811,76.4
0.605186852543766,0.865982855245225,58.5
0.560187579277618,0.866558483028721,65.3
0.50882970836194,0.867165252129135,55.8
0.611836790674347,0.909678745686214,62.2
0.56331382868836,0.911026580817289,66.1
0.511533718940769,0.912435725416306,65.8
0.366634635746765,0.521776417507809,66.6
0.611551057041937,0.953868761244658,62.9
0.56302938894407,0.955216839667293,61.3
0.510731508289732,0.956347172161678,57.6
0.612286632453396,0.996961045375168,52.9
0.562075146435805,0.998137603262157,56.5
0.512550715024157,1,56.3
0.367652710070287,0.5648120147095,70.6
0.371533943214708,0.654313376533916,60.1
0.371698267009351,0.697235113294847,55.3
0.370664881676089,0.741533880171636,62.2
0.372745022520126,0.786218750722387,72.9
0.377248184567111,0.829021031337195,59.9
0.378791361830225,0.872497472809188,61.8
0.306643080523415,0.2608194788939,62.4
0.417526059985515,0.609782266236485,55.2
0.309074943295351,0.305105108027485,65.8
0.310693166070985,0.346938358439071,76.5
0.312549032969576,0.392965225123803,57.9
0.312456519967066,0.437381988397526,56
0.316068840024978,0.479335911412689,62.7
0.317110851279205,0.523443937722317,63.5
0.320609309180181,0.610556663207932,62.6
0.321298951562439,0.654009991983623,54.1
0.321937485362902,0.699309173672458,60.4
0.324445687535516,0.743156634742901,64.6
0.420039222062699,0.651974128377652,54.2
0.326036307363993,0.787027451801032,66.7
0.325314533426092,0.830957145411851,65.4
0.255981752726775,0.173636685444701,60.1
0.256996807977954,0.218445634680697,61.5
0.260336980228953,0.349737914188711,66.3
0.261727263042728,0.394181926114739,55.7
0.262573034594692,0.437490739715871,55.3
0.263034952663115,0.481646937750237,56.6
0.264239562527801,0.525410463239211,63.4
0.268764289377236,0.569774432248902,63.4
0.421396295080697,0.694532874161094,62.9
0.270640211542096,0.656256059480001,66.3
0.271050374084635,0.701270833358669,56.2
0.271493315126886,0.744877435804561,59.2
0.275052585770775,0.788335873702494,67
0.277314949195493,0.831349088082563,55.9
0.198317902279543,0,64.9
0.199537823153968,0.0450904375476148,69.6
0.200208272862031,0.0882807681686929,61.6
0.202827318119219,0.132651792632934,57.8
0.204270219050951,0.175759160838783,54.6
0.423494334710752,0.740909350788722,52
0.205031672225362,0.220776367633052,66.1
0.208009987091317,0.263413696583815,66.2
0.207101030668184,0.306675068334545,72.2
0.209364256684994,0.351129298505402,56.4
0.21130250112893,0.396565939914246,65
0.213473861087319,0.438999147263256,65.9
0.207449302227693,0.483865756594139,56.2
0.211588666057386,0.527657747193389,59.1
0.223807067475834,0.746753213577169,68.3
0.225281668667161,0.790856130764382,66.9
0.425205501784922,0.783996282505257,68.8
0.224149516538698,0.833646490093786,65
0.148175639277789,0.00220300489371017,62.7
0.150007353597633,0.0454558614405304,62.2
0.151132389341293,0.0904302489236907,66.4
0.153427315617719,0.13338726295806,59.7
0.154797543165186,0.178071646925518,57.6
0.157036832251292,0.221029877417515,68.5
0.157404943429066,0.263894440666678,60.9
0.370076593865328,0.609374509615582,72.3
0.379140495981846,0.915780254215472,70.8
0.426209990282908,0.827549117520876,54.2
0.317213284090838,0.568077960340998,56.4
0.328858708708265,0.874778330995712,56.6
0.329728417190953,0.918667394919463,73.6
0.255250058979732,0.129465403334824,66.6
0.255953071539503,0.258948080368854,68.5
0.258552061530422,0.305773429887574,58.8
0.27000361857386,0.613661793131733,62.2
0.279207044962186,0.87628600866859,59.5
0.28024193983161,0.918988783043643,72.9
0.228898517333579,0.877521929691212,65.2
0.428952170562067,0.870451147667173,53.9
0.228186447556778,0.920045398201389,62.6
0.159549994328457,0.308477858645194,71.2
0.16169245745157,0.351806378860961,64.2
0.100422325091132,0.00324307622692976,61.1
0.101151431061858,0.0473622939472822,58.9
0.102384506465773,0.0915141127339129,68.2
0.103379290802659,0.133636880077908,70
0.105925447027579,0.179789771780364,70.3
0.108174224626761,0.266706647576402,51.4
0.109934128154452,0.309274881729994,71.2
